group,name,corpus,project,project path,class with the feature
serialization,java.io.ObjectOutputStream#callbacks,xcorpus-extension-20170313,guava-21.0,guava-21.0/project/bin.zip,com.google.common.collect.HashBiMap
serialization,java.io.ObjectInputStream#callbacks,xcorpus-extension-20170313,guava-21.0,guava-21.0/project/bin.zip,com.google.common.collect.HashMultimap
serialization,java.io.ObjectOutputStream#callbacks,xcorpus-extension-20170313,guava-21.0,guava-21.0/project/bin.zip,com.google.common.collect.HashMultimap
serialization,java.io.ObjectInputStream#callbacks,xcorpus-extension-20170313,guava-21.0,guava-21.0/project/bin.zip,com.google.common.collect.HashMultiset
serialization,java.io.ObjectOutputStream#callbacks,xcorpus-extension-20170313,guava-21.0,guava-21.0/project/bin.zip,com.google.common.collect.HashMultiset
serialization,java.io.ObjectOutputStream#callbacks,xcorpus-extension-20170313,guava-21.0,guava-21.0/project/bin.zip,com.google.common.collect.ImmutableAsList$SerializedForm
serialization,java.io.ObjectOutputStream#callbacks,xcorpus-extension-20170313,guava-21.0,guava-21.0/project/bin.zip,com.google.common.collect.ImmutableAsList
serialization,java.io.ObjectOutputStream#callbacks,xcorpus-extension-20170313,guava-21.0,guava-21.0/project/bin.zip,com.google.common.collect.ImmutableBiMap$SerializedForm
serialization,java.io.ObjectOutputStream#callbacks,xcorpus-extension-20170313,guava-21.0,guava-21.0/project/bin.zip,com.google.common.collect.ImmutableClassToInstanceMap
serialization,java.io.ObjectOutputStream#callbacks,xcorpus-extension-20170313,guava-21.0,guava-21.0/project/bin.zip,com.google.common.collect.ImmutableEnumMap$EnumSerializedForm
serialization,java.io.ObjectOutputStream#callbacks,xcorpus-extension-20170313,guava-21.0,guava-21.0/project/bin.zip,com.google.common.collect.ImmutableEnumSet$EnumSerializedForm
serialization,java.io.ObjectOutputStream#callbacks,xcorpus-extension-20170313,guava-21.0,guava-21.0/project/bin.zip,com.google.common.collect.ImmutableList$SerializedForm
serialization,java.io.ObjectOutputStream#callbacks,xcorpus-extension-20170313,guava-21.0,guava-21.0/project/bin.zip,com.google.common.collect.ImmutableList
serialization,java.io.ObjectInputStream#callbacks,xcorpus-extension-20170313,guava-21.0,guava-21.0/project/bin.zip,com.google.common.collect.ImmutableListMultimap
serialization,java.io.ObjectOutputStream#callbacks,xcorpus-extension-20170313,guava-21.0,guava-21.0/project/bin.zip,com.google.common.collect.ImmutableListMultimap
serialization,java.io.ObjectOutputStream#callbacks,xcorpus-extension-20170313,guava-21.0,guava-21.0/project/bin.zip,com.google.common.collect.ImmutableMap$SerializedForm
serialization,java.io.ObjectOutputStream#callbacks,xcorpus-extension-20170313,guava-21.0,guava-21.0/project/bin.zip,com.google.common.collect.ImmutableMapEntrySet$EntrySetSerializedForm
serialization,java.io.ObjectOutputStream#callbacks,xcorpus-extension-20170313,guava-21.0,guava-21.0/project/bin.zip,com.google.common.collect.ImmutableMapKeySet$KeySetSerializedForm
serialization,java.io.ObjectOutputStream#callbacks,xcorpus-extension-20170313,guava-21.0,guava-21.0/project/bin.zip,com.google.common.collect.ImmutableMapValues$SerializedForm
serialization,java.io.ObjectOutputStream#callbacks,xcorpus-extension-20170313,guava-21.0,guava-21.0/project/bin.zip,com.google.common.collect.ImmutableMultiset$EntrySetSerializedForm
serialization,java.io.ObjectOutputStream#callbacks,xcorpus-extension-20170313,guava-21.0,guava-21.0/project/bin.zip,com.google.common.collect.ImmutableMultiset$SerializedForm
serialization,java.io.ObjectOutputStream#callbacks,xcorpus-extension-20170313,guava-21.0,guava-21.0/project/bin.zip,com.google.common.collect.ImmutableRangeMap$SerializedForm
serialization,java.io.ObjectOutputStream#callbacks,xcorpus-extension-20170313,guava-21.0,guava-21.0/project/bin.zip,com.google.common.collect.ImmutableRangeSet$AsSetSerializedForm
serialization,java.io.ObjectOutputStream#callbacks,xcorpus-extension-20170313,guava-21.0,guava-21.0/project/bin.zip,com.google.common.collect.ImmutableRangeSet$SerializedForm
serialization,java.io.ObjectOutputStream#callbacks,xcorpus-extension-20170313,guava-21.0,guava-21.0/project/bin.zip,com.google.common.collect.ImmutableSet$SerializedForm
serialization,java.io.ObjectInputStream#callbacks,xcorpus-extension-20170313,guava-21.0,guava-21.0/project/bin.zip,com.google.common.collect.ImmutableSetMultimap
serialization,java.io.ObjectOutputStream#callbacks,xcorpus-extension-20170313,guava-21.0,guava-21.0/project/bin.zip,com.google.common.collect.ImmutableSetMultimap
serialization,java.io.ObjectOutputStream#callbacks,xcorpus-extension-20170313,guava-21.0,guava-21.0/project/bin.zip,com.google.common.collect.ImmutableSortedMap$SerializedForm
serialization,java.io.ObjectOutputStream#callbacks,xcorpus-extension-20170313,guava-21.0,guava-21.0/project/bin.zip,com.google.common.collect.ImmutableSortedMultiset$SerializedForm
serialization,java.io.ObjectOutputStream#callbacks,xcorpus-extension-20170313,guava-21.0,guava-21.0/project/bin.zip,com.google.common.collect.ImmutableSortedSet$SerializedForm
serialization,java.io.ObjectOutputStream#callbacks,xcorpus-extension-20170313,guava-21.0,guava-21.0/project/bin.zip,com.google.common.collect.ImmutableSortedSet
serialization,java.io.ObjectOutputStream#callbacks,xcorpus-extension-20170313,guava-21.0,guava-21.0/project/bin.zip,com.google.common.collect.ImmutableTable$SerializedForm
serialization,java.io.ObjectInputStream#callbacks,xcorpus-extension-20170313,guava-21.0,guava-21.0/project/bin.zip,com.google.common.collect.LinkedHashMultimap
serialization,java.io.ObjectOutputStream#callbacks,xcorpus-extension-20170313,guava-21.0,guava-21.0/project/bin.zip,com.google.common.collect.LinkedHashMultimap
serialization,java.io.ObjectInputStream#callbacks,xcorpus-extension-20170313,guava-21.0,guava-21.0/project/bin.zip,com.google.common.collect.LinkedHashMultiset
serialization,java.io.ObjectOutputStream#callbacks,xcorpus-extension-20170313,guava-21.0,guava-21.0/project/bin.zip,com.google.common.collect.LinkedHashMultiset
serialization,java.io.ObjectInputStream#callbacks,xcorpus-extension-20170313,guava-21.0,guava-21.0/project/bin.zip,com.google.common.collect.LinkedListMultimap
serialization,java.io.ObjectOutputStream#callbacks,xcorpus-extension-20170313,guava-21.0,guava-21.0/project/bin.zip,com.google.common.collect.LinkedListMultimap
serialization,java.io.ObjectInputStream#callbacks,xcorpus-extension-20170313,guava-21.0,guava-21.0/project/bin.zip,com.google.common.collect.MapMakerInternalMap$SerializationProxy
serialization,java.io.ObjectOutputStream#callbacks,xcorpus-extension-20170313,guava-21.0,guava-21.0/project/bin.zip,com.google.common.collect.MapMakerInternalMap$SerializationProxy
serialization,java.io.ObjectOutputStream#callbacks,xcorpus-extension-20170313,guava-21.0,guava-21.0/project/bin.zip,com.google.common.collect.MapMakerInternalMap$SerializationProxy
serialization,java.io.ObjectInputStream#callbacks,xcorpus-extension-20170313,guava-21.0,guava-21.0/project/bin.zip,com.google.common.collect.Multimaps$CustomListMultimap
serialization,java.io.ObjectOutputStream#callbacks,xcorpus-extension-20170313,guava-21.0,guava-21.0/project/bin.zip,com.google.common.collect.Multimaps$CustomListMultimap
serialization,java.io.ObjectInputStream#callbacks,xcorpus-extension-20170313,guava-21.0,guava-21.0/project/bin.zip,com.google.common.collect.Multimaps$CustomMultimap
serialization,java.io.ObjectOutputStream#callbacks,xcorpus-extension-20170313,guava-21.0,guava-21.0/project/bin.zip,com.google.common.collect.Multimaps$CustomMultimap
serialization,java.io.ObjectInputStream#callbacks,xcorpus-extension-20170313,guava-21.0,guava-21.0/project/bin.zip,com.google.common.collect.Multimaps$CustomSetMultimap
serialization,java.io.ObjectOutputStream#callbacks,xcorpus-extension-20170313,guava-21.0,guava-21.0/project/bin.zip,com.google.common.collect.Multimaps$CustomSetMultimap
serialization,java.io.ObjectInputStream#callbacks,xcorpus-extension-20170313,guava-21.0,guava-21.0/project/bin.zip,com.google.common.collect.Multimaps$CustomSortedSetMultimap
serialization,java.io.ObjectOutputStream#callbacks,xcorpus-extension-20170313,guava-21.0,guava-21.0/project/bin.zip,com.google.common.collect.Multimaps$CustomSortedSetMultimap
serialization,java.io.ObjectOutputStream#callbacks,xcorpus-extension-20170313,guava-21.0,guava-21.0/project/bin.zip,com.google.common.collect.MutableClassToInstanceMap$SerializedForm
serialization,java.io.ObjectOutputStream#callbacks,xcorpus-extension-20170313,guava-21.0,guava-21.0/project/bin.zip,com.google.common.collect.NaturalOrdering
serialization,java.io.ObjectOutputStream#callbacks,xcorpus-extension-20170313,guava-21.0,guava-21.0/project/bin.zip,com.google.common.collect.Range
serialization,java.io.ObjectOutputStream#callbacks,xcorpus-extension-20170313,guava-21.0,guava-21.0/project/bin.zip,com.google.common.collect.RegularContiguousSet$SerializedForm
serialization,java.io.ObjectOutputStream#callbacks,xcorpus-extension-20170313,guava-21.0,guava-21.0/project/bin.zip,com.google.common.collect.RegularImmutableBiMap$InverseSerializedForm
serialization,java.io.ObjectOutputStream#callbacks,xcorpus-extension-20170313,guava-21.0,guava-21.0/project/bin.zip,com.google.common.collect.RegularImmutableMap$KeySet$SerializedForm
serialization,java.io.ObjectOutputStream#callbacks,xcorpus-extension-20170313,guava-21.0,guava-21.0/project/bin.zip,com.google.common.collect.RegularImmutableMap$Values$SerializedForm
serialization,java.io.ObjectOutputStream#callbacks,xcorpus-extension-20170313,guava-21.0,guava-21.0/project/bin.zip,com.google.common.collect.ReverseNaturalOrdering
serialization,java.io.ObjectInputStream#callbacks,xcorpus-extension-20170313,guava-21.0,guava-21.0/project/bin.zip,com.google.common.collect.Synchronized$SynchronizedObject
serialization,java.io.ObjectInputStream#callbacks,xcorpus-extension-20170313,guava-21.0,guava-21.0/project/bin.zip,com.google.common.collect.TreeMultimap
serialization,java.io.ObjectOutputStream#callbacks,xcorpus-extension-20170313,guava-21.0,guava-21.0/project/bin.zip,com.google.common.collect.TreeMultimap
serialization,java.io.ObjectInputStream#callbacks,xcorpus-extension-20170313,guava-21.0,guava-21.0/project/bin.zip,com.google.common.collect.TreeMultiset
serialization,java.io.ObjectOutputStream#callbacks,xcorpus-extension-20170313,guava-21.0,guava-21.0/project/bin.zip,com.google.common.collect.TreeMultiset
serialization,java.io.ObjectOutputStream#callbacks,xcorpus-extension-20170313,guava-21.0,guava-21.0/project/bin.zip,com.google.common.collect.UsingToStringOrdering
serialization,java.io.ObjectOutputStream#callbacks,xcorpus-extension-20170313,guava-21.0,guava-21.0/project/bin.zip,com.google.common.hash.BloomFilter$SerialForm
serialization,java.io.ObjectOutputStream#callbacks,xcorpus-extension-20170313,guava-21.0,guava-21.0/project/bin.zip,com.google.common.hash.Funnels$StringCharsetFunnel$SerializedForm
serialization,java.io.ObjectOutputStream#callbacks,xcorpus-extension-20170313,guava-21.0,guava-21.0/project/bin.zip,com.google.common.hash.MessageDigestHashFunction$SerializedForm
serialization,java.io.ObjectOutputStream#callbacks,xcorpus-extension-20170313,guava-21.0,guava-21.0/project/bin.zip,com.google.common.primitives.Doubles$DoubleConverter
serialization,java.io.ObjectOutputStream#callbacks,xcorpus-extension-20170313,guava-21.0,guava-21.0/project/bin.zip,com.google.common.primitives.Floats$FloatConverter
serialization,java.io.ObjectOutputStream#callbacks,xcorpus-extension-20170313,guava-21.0,guava-21.0/project/bin.zip,com.google.common.primitives.Ints$IntConverter
serialization,java.io.ObjectOutputStream#callbacks,xcorpus-extension-20170313,guava-21.0,guava-21.0/project/bin.zip,com.google.common.primitives.Longs$LongConverter
serialization,java.io.ObjectOutputStream#callbacks,xcorpus-extension-20170313,guava-21.0,guava-21.0/project/bin.zip,com.google.common.primitives.Shorts$ShortConverter
serialization,java.io.ObjectOutputStream#callbacks,xcorpus-extension-20170313,guava-21.0,guava-21.0/project/bin.zip,com.google.common.reflect.TypeToken$ClassSet
serialization,java.io.ObjectOutputStream#callbacks,xcorpus-extension-20170313,guava-21.0,guava-21.0/project/bin.zip,com.google.common.reflect.TypeToken$InterfaceSet
serialization,java.io.ObjectInputStream#callbacks,xcorpus-extension-20170313,guava-21.0,guava-21.0/project/bin.zip,com.google.common.util.concurrent.AtomicDouble
serialization,java.io.ObjectOutputStream#callbacks,xcorpus-extension-20170313,guava-21.0,guava-21.0/project/bin.zip,com.google.common.util.concurrent.AtomicDouble
serialization,java.io.ObjectInputStream#callbacks,xcorpus-extension-20170313,guava-21.0,guava-21.0/project/bin.zip,com.google.common.util.concurrent.AtomicDoubleArray
serialization,java.io.ObjectOutputStream#callbacks,xcorpus-extension-20170313,guava-21.0,guava-21.0/project/bin.zip,com.google.common.util.concurrent.AtomicDoubleArray
serialization,java.io.ObjectOutputStream#callbacks,xcorpus-extension-20170313,ApacheJMeter_core-3.1,ApacheJMeter_core-3.1/project/bin.zip,org.apache.jmeter.control.GenericController
serialization,java.io.ObjectOutputStream#callbacks,xcorpus-extension-20170313,ApacheJMeter_core-3.1,ApacheJMeter_core-3.1/project/bin.zip,org.apache.jmeter.control.TransactionController
serialization,java.io.ObjectOutputStream#callbacks,xcorpus-extension-20170313,ApacheJMeter_core-3.1,ApacheJMeter_core-3.1/project/bin.zip,org.apache.jmeter.samplers.AsynchSampleSender
serialization,java.io.ObjectOutputStream#callbacks,xcorpus-extension-20170313,ApacheJMeter_core-3.1,ApacheJMeter_core-3.1/project/bin.zip,org.apache.jmeter.samplers.BatchSampleSender
serialization,java.io.ObjectOutputStream#callbacks,xcorpus-extension-20170313,ApacheJMeter_core-3.1,ApacheJMeter_core-3.1/project/bin.zip,org.apache.jmeter.samplers.DataStrippingSampleSender
serialization,java.io.ObjectOutputStream#callbacks,xcorpus-extension-20170313,ApacheJMeter_core-3.1,ApacheJMeter_core-3.1/project/bin.zip,org.apache.jmeter.samplers.DiskStoreSampleSender
serialization,java.io.ObjectOutputStream#callbacks,xcorpus-extension-20170313,ApacheJMeter_core-3.1,ApacheJMeter_core-3.1/project/bin.zip,org.apache.jmeter.samplers.HoldSampleSender
serialization,java.io.ObjectOutputStream#callbacks,xcorpus-extension-20170313,ApacheJMeter_core-3.1,ApacheJMeter_core-3.1/project/bin.zip,org.apache.jmeter.samplers.SampleSaveConfiguration
serialization,java.io.ObjectOutputStream#callbacks,xcorpus-extension-20170313,ApacheJMeter_core-3.1,ApacheJMeter_core-3.1/project/bin.zip,org.apache.jmeter.samplers.StandardSampleSender
serialization,java.io.ObjectOutputStream#callbacks,xcorpus-extension-20170313,ApacheJMeter_core-3.1,ApacheJMeter_core-3.1/project/bin.zip,org.apache.jmeter.samplers.StatisticalSampleSender
serialization,java.io.ObjectOutputStream#callbacks,xcorpus-extension-20170313,ApacheJMeter_core-3.1,ApacheJMeter_core-3.1/project/bin.zip,org.apache.jmeter.testelement.TestPlan
serialization,java.io.ObjectOutputStream#callbacks,xcorpus-extension-20170313,ApacheJMeter_core-3.1,ApacheJMeter_core-3.1/project/bin.zip,org.apache.jmeter.util.BeanShellTestElement
serialization,java.io.ObjectOutputStream#callbacks,xcorpus-extension-20170313,drools-7.0.0.Beta6,drools-7.0.0.Beta6/project/bin.zip,org.drools.core.RuleBaseConfiguration$AssertBehaviour
serialization,java.io.ObjectOutputStream#callbacks,xcorpus-extension-20170313,drools-7.0.0.Beta6,drools-7.0.0.Beta6/project/bin.zip,org.drools.core.RuleBaseConfiguration$LogicalOverride
serialization,java.io.ObjectOutputStream#callbacks,xcorpus-extension-20170313,drools-7.0.0.Beta6,drools-7.0.0.Beta6/project/bin.zip,org.drools.core.RuleBaseConfiguration$SequentialAgenda
serialization,java.io.ObjectOutputStream#callbacks,xcorpus-extension-20170313,drools-7.0.0.Beta6,drools-7.0.0.Beta6/project/bin.zip,org.drools.core.base.ValueType
serialization,java.io.ObjectOutputStream#callbacks,xcorpus-extension-20170313,drools-7.0.0.Beta6,drools-7.0.0.Beta6/project/bin.zip,org.drools.core.base.evaluators.Operator
serialization,java.io.ObjectOutputStream#callbacks,xcorpus-extension-20170313,drools-7.0.0.Beta6,drools-7.0.0.Beta6/project/bin.zip,org.drools.core.time.impl.CronExpression
serialization,java.io.ObjectOutputStream#callbacks,xcorpus-extension-20170313,mockito-core-2.7.17,mockito-core-2.7.17/project/bin.zip,org.mockito.internal.creation.bytebuddy.ByteBuddyCrossClassLoaderSerializationSupport$CrossClassLoaderSerializationProxy
serialization,java.io.ObjectOutputStream#callbacks,qualitas_corpus_20130901,tapestry-5.1.0.5,tapestry-5.1.0.5/project/bin.zip,org.apache.tapestry5.ioc.internal.ServiceProxyToken
serialization,java.io.ObjectOutputStream#callbacks,qualitas_corpus_20130901,checkstyle-5.1,checkstyle-5.1/project/bin.zip,com.puppycrawl.tools.checkstyle.checks.imports.AccessResult
serialization,java.io.ObjectOutputStream#callbacks,qualitas_corpus_20130901,james-2.2.0,james-2.2.0/project/bin.zip,org.apache.james.core.MailImpl
serialization,java.io.ObjectInputStream#callbacks,qualitas_corpus_20130901,james-2.2.0,james-2.2.0/project/bin.zip,org.apache.james.core.MailImpl
serialization,java.io.ObjectOutputStream#callbacks,qualitas_corpus_20130901,log4j-1.2.16,log4j-1.2.16/project/bin.zip,org.apache.log4j.Level
serialization,java.io.ObjectInputStream#callbacks,qualitas_corpus_20130901,log4j-1.2.16,log4j-1.2.16/project/bin.zip,org.apache.log4j.Level
serialization,java.io.ObjectOutputStream#callbacks,qualitas_corpus_20130901,log4j-1.2.16,log4j-1.2.16/project/bin.zip,org.apache.log4j.Level
serialization,java.io.ObjectOutputStream#callbacks,qualitas_corpus_20130901,log4j-1.2.16,log4j-1.2.16/project/bin.zip,org.apache.log4j.spi.LoggingEvent
serialization,java.io.ObjectInputStream#callbacks,qualitas_corpus_20130901,log4j-1.2.16,log4j-1.2.16/project/bin.zip,org.apache.log4j.spi.LoggingEvent
serialization,java.io.ObjectOutputStream#callbacks,qualitas_corpus_20130901,log4j-1.2.16,log4j-1.2.16/project/bin.zip,org.apache.log4j.pattern.LogEvent
serialization,java.io.ObjectInputStream#callbacks,qualitas_corpus_20130901,log4j-1.2.16,log4j-1.2.16/project/bin.zip,org.apache.log4j.pattern.LogEvent
serialization,java.io.ObjectInputStream#callbacks,qualitas_corpus_20130901,commons-collections-3.2.1,commons-collections-3.2.1/project/bin.zip,org.apache.commons.collections.ReferenceMap
serialization,java.io.ObjectOutputStream#callbacks,qualitas_corpus_20130901,commons-collections-3.2.1,commons-collections-3.2.1/project/bin.zip,org.apache.commons.collections.ReferenceMap
serialization,java.io.ObjectOutputStream#callbacks,qualitas_corpus_20130901,commons-collections-3.2.1,commons-collections-3.2.1/project/bin.zip,org.apache.commons.collections.MultiHashMap
serialization,java.io.ObjectInputStream#callbacks,qualitas_corpus_20130901,commons-collections-3.2.1,commons-collections-3.2.1/project/bin.zip,org.apache.commons.collections.CursorableLinkedList
serialization,java.io.ObjectOutputStream#callbacks,qualitas_corpus_20130901,commons-collections-3.2.1,commons-collections-3.2.1/project/bin.zip,org.apache.commons.collections.CursorableLinkedList
serialization,java.io.ObjectInputStream#callbacks,qualitas_corpus_20130901,commons-collections-3.2.1,commons-collections-3.2.1/project/bin.zip,org.apache.commons.collections.bidimap.DualTreeBidiMap
serialization,java.io.ObjectOutputStream#callbacks,qualitas_corpus_20130901,commons-collections-3.2.1,commons-collections-3.2.1/project/bin.zip,org.apache.commons.collections.bidimap.DualTreeBidiMap
serialization,java.io.ObjectInputStream#callbacks,qualitas_corpus_20130901,commons-collections-3.2.1,commons-collections-3.2.1/project/bin.zip,org.apache.commons.collections.bidimap.DualHashBidiMap
serialization,java.io.ObjectOutputStream#callbacks,qualitas_corpus_20130901,commons-collections-3.2.1,commons-collections-3.2.1/project/bin.zip,org.apache.commons.collections.bidimap.DualHashBidiMap
serialization,java.io.ObjectInputStream#callbacks,qualitas_corpus_20130901,commons-collections-3.2.1,commons-collections-3.2.1/project/bin.zip,org.apache.commons.collections.bag.UnmodifiableSortedBag
serialization,java.io.ObjectOutputStream#callbacks,qualitas_corpus_20130901,commons-collections-3.2.1,commons-collections-3.2.1/project/bin.zip,org.apache.commons.collections.bag.UnmodifiableSortedBag
serialization,java.io.ObjectInputStream#callbacks,qualitas_corpus_20130901,commons-collections-3.2.1,commons-collections-3.2.1/project/bin.zip,org.apache.commons.collections.bag.UnmodifiableBag
serialization,java.io.ObjectOutputStream#callbacks,qualitas_corpus_20130901,commons-collections-3.2.1,commons-collections-3.2.1/project/bin.zip,org.apache.commons.collections.bag.UnmodifiableBag
serialization,java.io.ObjectInputStream#callbacks,qualitas_corpus_20130901,commons-collections-3.2.1,commons-collections-3.2.1/project/bin.zip,org.apache.commons.collections.bag.TreeBag
serialization,java.io.ObjectOutputStream#callbacks,qualitas_corpus_20130901,commons-collections-3.2.1,commons-collections-3.2.1/project/bin.zip,org.apache.commons.collections.bag.TreeBag
serialization,java.io.ObjectInputStream#callbacks,qualitas_corpus_20130901,commons-collections-3.2.1,commons-collections-3.2.1/project/bin.zip,org.apache.commons.collections.bag.HashBag
serialization,java.io.ObjectOutputStream#callbacks,qualitas_corpus_20130901,commons-collections-3.2.1,commons-collections-3.2.1/project/bin.zip,org.apache.commons.collections.bag.HashBag
serialization,java.io.ObjectInputStream#callbacks,qualitas_corpus_20130901,commons-collections-3.2.1,commons-collections-3.2.1/project/bin.zip,org.apache.commons.collections.set.UnmodifiableSortedSet
serialization,java.io.ObjectOutputStream#callbacks,qualitas_corpus_20130901,commons-collections-3.2.1,commons-collections-3.2.1/project/bin.zip,org.apache.commons.collections.set.UnmodifiableSortedSet
serialization,java.io.ObjectInputStream#callbacks,qualitas_corpus_20130901,commons-collections-3.2.1,commons-collections-3.2.1/project/bin.zip,org.apache.commons.collections.set.AbstractSerializableSetDecorator
serialization,java.io.ObjectOutputStream#callbacks,qualitas_corpus_20130901,commons-collections-3.2.1,commons-collections-3.2.1/project/bin.zip,org.apache.commons.collections.set.AbstractSerializableSetDecorator
serialization,java.io.ObjectInputStream#callbacks,qualitas_corpus_20130901,commons-collections-3.2.1,commons-collections-3.2.1/project/bin.zip,org.apache.commons.collections.map.UnmodifiableSortedMap
serialization,java.io.ObjectOutputStream#callbacks,qualitas_corpus_20130901,commons-collections-3.2.1,commons-collections-3.2.1/project/bin.zip,org.apache.commons.collections.map.UnmodifiableSortedMap
serialization,java.io.ObjectInputStream#callbacks,qualitas_corpus_20130901,commons-collections-3.2.1,commons-collections-3.2.1/project/bin.zip,org.apache.commons.collections.map.UnmodifiableOrderedMap
